Tribunal,Ano,Mês,Acórdão,Homologação de Acordo,Decisaão monocrárica,Total,Data Publicação 1,Data Publicação 2
tjsp,2022,Fevereiro,55051,13,5480,60544,01-02-2022,28-02-2022
tjsp,2022,Março,0,0,0,0,01-03-2022,31-03-2022
tjsp,2022,Abril,0,0,0,0,01-04-2022,30-04-2022
tjsp,2022,Maio,0,0,0,0,01-05-2022,31-05-2022
tjsp,2022,Junho,0,0,0,0,01-06-2022,30-06-2022
tjsp,2022,Julho,0,0,0,0,01-07-2022,31-07-2022
tjsp,2022,Agosto,0,0,0,0,01-08-2022,31-08-2022
tjsp,2022,Setembro,0,0,0,0,01-09-2022,30-09-2022
tjsp,2022,Outubro,0,0,0,0,01-10-2022,31-10-2022
tjsp,2022,Novembro,0,0,0,0,01-11-2022,30-11-2022
